student_id,dropout
420,1
421,1
422,0
423,0
424,1
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,1
503,1
504,0
505,1
506,1
507,0
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,1
522,0
523,0
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,0
532,1
533,0
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,0
547,1
548,0
549,1
550,0
551,0
552,1
553,0
554,1
555,0
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,0
566,0
567,0
568,1
569,0
570,0
571,0
572,1
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,0
581,1
582,1
583,0
584,1
585,0
586,0
587,1
588,1
589,1
590,1
591,0
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,1
600,0
601,0
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,1
611,0
612,0
613,1
614,0
615,1
616,0
617,1
618,1
619,0
620,0
621,0
622,0
623,1
624,0
625,1
626,1
627,0
628,0
629,0
630,0
631,0
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,0
646,0
647,1
648,1
649,1
650,1
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,1
661,0
662,1
663,0
664,0
665,1
666,1
667,1
668,1
669,1
670,1
671,0
672,0
673,1
674,0
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,0
691,0
692,0
693,1
694,0
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,1
723,1
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,0
732,1
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,1
741,1
742,1
743,0
744,1
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,0
754,1
755,0
756,1
757,1
758,0
759,1
760,1
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,1
789,1
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,0
798,0
799,1
800,0
801,0
802,1
803,1
804,0
805,1
806,0
807,1
808,1
809,1
810,0
811,1
812,1
813,1
814,1
815,0
816,1
817,1
818,1
819,1
820,1
821,0
822,1
823,1
824,0
825,1
826,0
827,1
828,1
829,1
830,1
831,1
832,0
833,0
834,1
835,0
836,1
837,1
838,1
839,1
840,0
841,1
842,1
843,0
844,0
845,1
846,0
847,1
848,1
849,1
850,1
851,0
852,0
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,0
863,0
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,0
875,0
876,1
877,0
878,1
879,0
880,1
881,1
882,1
883,1
884,0
885,1
886,1
887,1
888,1
889,1
890,0
891,0
892,1
893,1
894,1
895,1
896,1
897,0
898,1
899,1
900,0
901,1
902,0
903,1
904,1
905,1
906,0
907,1
908,1
909,1
910,0
911,1
912,1
913,0
914,0
915,1
916,0
917,0
918,1
919,1
920,1
921,0
922,0
923,0
924,1
925,1
926,0
927,0
928,0
929,0
930,1
931,1
932,0
933,1
934,1
935,1
936,0
937,0
938,1
939,0
940,1
941,1
942,0
943,1
944,1
945,1
946,0
947,1
948,0
949,1
950,1
951,0
952,1
953,1
954,1
955,1
956,1
957,0
958,1
959,1
960,0
961,0
962,1
963,1
964,0
965,0
966,0
967,0
968,0
969,1
970,0
971,0
972,1
973,0
974,0
975,1
976,1
977,0
978,1
979,1
980,1
981,1
982,0
983,1
984,0
985,1
986,1
987,1
988,1
989,1
990,0
991,1
992,0
993,0
994,0
995,1
996,1
997,1
998,1
999,1
1000,0
